mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
37.559882402420044,0.6899475527869842,0.025244760513305663,0.004665685156093879,0.9,100,5,10,3,0.1,"{'model__subsample': 0.9, 'model__n_estimators': 100, 'model__min_samples_split': 5, 'model__min_samples_leaf': 10, 'model__max_depth': 3, 'model__learning_rate': 0.1}",0.7818181818181819,0.7524752475247525,0.6792452830188679,0.6792452830188679,0.6875,0.716056799076134,0.04284046930157092,14,0.9977011494252873,0.9907834101382489,0.9953917050691244,0.9977116704805492,0.9977220956719818,0.9958620061570382,0.0026935834759581525
116.59797039031983,0.7366524140459216,0.029900884628295897,0.009145689171597004,0.9,300,10,2,3,0.2,"{'model__subsample': 0.9, 'model__n_estimators': 300, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_depth': 3, 'model__learning_rate': 0.2}",0.7777777777777778,0.7522935779816514,0.7428571428571429,0.7058823529411765,0.6804123711340206,0.731844644538354,0.03455027079458383,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
104.76730160713196,0.8090702726389133,0.027951145172119142,0.00820799848162867,1.0,150,20,2,5,0.2,"{'model__subsample': 1.0, 'model__n_estimators': 150, 'model__min_samples_split': 20, 'model__min_samples_leaf': 2, 'model__max_depth': 5, 'model__learning_rate': 0.2}",0.8037383177570093,0.7619047619047619,0.7358490566037735,0.6796116504854369,0.68,0.7322207573501964,0.047966220930456625,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
37.04666409492493,0.4914473589114149,0.03023843765258789,0.009306904271875005,0.7,100,2,10,4,0.05,"{'model__subsample': 0.7, 'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__min_samples_leaf': 10, 'model__max_depth': 4, 'model__learning_rate': 0.05}",0.7818181818181819,0.7676767676767676,0.7592592592592593,0.693069306930693,0.6947368421052632,0.739312071558033,0.037774488887847804,1,0.9814814814814815,0.988399071925754,0.9884526558891455,0.9861751152073732,0.9931662870159453,0.9875349223039398,0.0037893133719130393
62.54252185821533,0.6437680269613022,0.02311716079711914,0.0009066082279688954,1.0,150,10,10,3,0.05,"{'model__subsample': 1.0, 'model__n_estimators': 150, 'model__min_samples_split': 10, 'model__min_samples_leaf': 10, 'model__max_depth': 3, 'model__learning_rate': 0.05}",0.8037383177570093,0.693069306930693,0.7307692307692307,0.6796116504854369,0.6136363636363636,0.7041649739157468,0.06252047038033141,22,0.9765258215962441,0.9767441860465116,0.9836829836829837,0.9814814814814815,0.988558352402746,0.9813985650419934,0.004514307726243509
131.78823533058167,1.4209597048646643,0.03584585189819336,0.0143214092527271,1.0,300,5,1,3,0.05,"{'model__subsample': 1.0, 'model__n_estimators': 300, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_depth': 3, 'model__learning_rate': 0.05}",0.7777777777777778,0.7128712871287128,0.7524752475247525,0.6862745098039216,0.6947368421052632,0.7248271328680856,0.03493669025847438,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
39.13011012077332,0.5878495958114519,0.02599043846130371,0.006494441057111331,0.9,150,10,2,2,0.01,"{'model__subsample': 0.9, 'model__n_estimators': 150, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_depth': 2, 'model__learning_rate': 0.01}",0.7346938775510204,0.6808510638297872,0.6373626373626373,0.6436781609195402,0.5,0.6393171479325971,0.07778675076949057,29,0.7566137566137566,0.7642276422764228,0.7588075880758808,0.7560321715817694,0.7465181058495822,0.7564398528794823,0.0057427057094368615
34.32715425491333,0.5996160425027611,0.028198099136352538,0.008853816574162907,0.8,100,2,2,3,0.03,"{'model__subsample': 0.8, 'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_depth': 3, 'model__learning_rate': 0.03}",0.7962962962962963,0.7070707070707071,0.7216494845360825,0.7142857142857143,0.6373626373626373,0.7153329679102876,0.05048503355583695,16,0.9375,0.9227053140096618,0.9349397590361446,0.9197080291970803,0.9253012048192771,0.9280308614124329,0.006963899314408745
67.6925992012024,0.3424085248624414,0.024032783508300782,0.0010726289171340275,0.8,150,10,2,4,0.01,"{'model__subsample': 0.8, 'model__n_estimators': 150, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_depth': 4, 'model__learning_rate': 0.01}",0.780952380952381,0.6804123711340206,0.7128712871287128,0.7083333333333334,0.6222222222222222,0.700958318954134,0.051413750112601374,25,0.9320388349514563,0.9219512195121952,0.9264705882352942,0.9317073170731708,0.9245742092457421,0.9273484338035717,0.003964759340290833
103.66639065742493,1.0602164507186844,0.02408590316772461,0.0009644039198845262,1.0,150,20,2,5,0.03,"{'model__subsample': 1.0, 'model__n_estimators': 150, 'model__min_samples_split': 20, 'model__min_samples_leaf': 2, 'model__max_depth': 5, 'model__learning_rate': 0.03}",0.8073394495412844,0.7326732673267327,0.7428571428571429,0.6796116504854369,0.6881720430107527,0.7301307106442699,0.04569971829745015,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
64.18144679069519,0.7259688139934118,0.028695201873779295,0.010518867007045652,1.0,150,2,5,3,0.2,"{'model__subsample': 1.0, 'model__n_estimators': 150, 'model__min_samples_split': 2, 'model__min_samples_leaf': 5, 'model__max_depth': 3, 'model__learning_rate': 0.2}",0.7592592592592593,0.7428571428571429,0.7047619047619048,0.6990291262135923,0.6947368421052632,0.7201288550394325,0.02597637249400595,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
